Date,Open,High,Low,Close,Change,P_Open,P_High,P_Low,P_Close,P_High-Open,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
2015-09-01,1135.33,1147.98,1134.69,1140.14,15.26,1142.85,1146.73,1118.03,1124.88,3.88,-9.23,4532.49,-21.85,28.7,0
2015-09-28,1147.09,1148.49,1128.35,1132.56,-7.58,1135.33,1147.98,1134.69,1140.14,12.65,15.26,4558.14,-7.84,13.29,1
2015-07-16,1149.24,1149.25,1142.92,1145.8,13.24,1147.09,1148.49,1128.35,1132.56,1.4,-7.58,4556.49,-15.93,20.14,0
2015-10-30,1146.78,1150.17,1139.59,1142.22,-3.58,1149.24,1149.25,1142.92,1145.8,0.01,13.24,4587.21,-3.45,6.33,1
2015-10-06,1136.39,1150.72,1135.25,1147.23,5.01,1146.78,1150.17,1139.59,1142.22,3.39,-3.58,4578.76,-7.95,10.58,0
2016-12-27,1133.96,1150.9,1131.82,1138.81,-8.42,1136.39,1150.72,1135.25,1147.23,14.33,5.01,4569.59,-3.49,15.47,1
2015-09-25,1150.21,1151.3,1140.91,1146.81,8,1133.96,1150.9,1131.82,1138.81,16.94,-8.42,4555.49,-12.09,19.08,0
2015-10-08,1146.35,1151.5,1136.93,1139.53,-7.28,1150.21,1151.3,1140.91,1146.81,1.09,8,4589.23,-4.49,10.39,1
2015-10-07,1147.48,1153.87,1142.15,1145.55,6.02,1146.35,1151.5,1136.93,1139.53,5.15,-7.28,4574.31,-11.97,14.57,1
2015-08-20,1133.16,1154.28,1133.11,1153.27,7.72,1147.48,1153.87,1142.15,1145.55,6.39,6.02,4589.05,-8.32,11.72,0
2015-07-15,1156.65,1156.84,1143.7,1149.12,-4.15,1133.16,1154.28,1133.11,1153.27,21.12,7.72,4573.82,-1.01,21.17,0
2015-08-25,1154.7,1156.86,1135,1140.72,-8.4,1156.65,1156.84,1143.7,1149.12,0.19,-4.15,4606.31,-7.72,13.14,1
2015-09-24,1130.88,1156.9,1130.68,1153.56,12.84,1154.7,1156.86,1135,1140.72,2.16,-8.4,4587.28,-16.14,21.86,1
2016-02-04,1141.95,1157.64,1139.92,1156.09,2.53,1130.88,1156.9,1130.68,1153.56,26.02,12.84,4572.02,-3.34,26.22,0
2015-03-17,1155.23,1159.13,1142.73,1149.49,-6.6,1141.95,1157.64,1139.92,1156.09,15.69,2.53,4595.6,-1.55,17.72,1
2016-12-29,1142.05,1159.59,1141.95,1158.12,8.63,1155.23,1159.13,1142.73,1149.49,3.9,-6.6,4606.58,-9.64,16.4,0
2015-07-14,1157.15,1159.74,1153.22,1156.09,-2.03,1142.05,1159.59,1141.95,1158.12,17.54,8.63,4601.71,-1.47,17.64,1
2015-10-09,1140.65,1159.9,1140.19,1157.58,1.49,1157.15,1159.74,1153.22,1156.09,2.59,-2.03,4626.2,-3.65,6.52,0
2015-03-13,1154.73,1161.45,1151.28,1157.34,-0.24,1140.65,1159.9,1140.19,1157.58,19.25,1.49,4598.32,-2.32,19.71,0
2015-10-29,1159.1,1162.93,1144.81,1147.8,-9.54,1154.73,1161.45,1151.28,1157.34,6.72,-0.24,4624.8,-4.11,10.17,1
2016-12-30,1158.47,1163.25,1149.85,1150.91,3.11,1159.1,1162.93,1144.81,1147.8,3.83,-9.54,4614.64,-15.13,18.12,1
2017-01-03,1150.53,1163.79,1146.18,1158.82,7.91,1158.47,1163.25,1149.85,1150.91,4.78,3.11,4622.48,-12.34,13.4,0
2015-03-16,1155.45,1163.82,1150.18,1154.31,-4.51,1150.53,1163.79,1146.18,1158.82,13.26,7.91,4619.32,-4.97,17.61,1
2015-07-13,1163.01,1164.5,1151.51,1157.83,3.52,1155.45,1163.82,1150.18,1154.31,8.37,-4.51,4623.76,-9.51,13.64,1
2015-07-08,1155.23,1164.85,1147.5,1158.87,1.04,1163.01,1164.5,1151.51,1157.83,1.49,3.52,4636.85,-6.67,12.99,0
2015-03-11,1162.96,1164.95,1147.33,1155.37,-3.5,1155.23,1164.85,1147.5,1158.87,9.62,1.04,4626.45,-5.98,17.35,1
2016-12-13,1162.73,1165.07,1154.75,1158.61,3.24,1162.96,1164.95,1147.33,1155.37,1.99,-3.5,4630.61,-9.58,17.62,0
2016-12-14,1158.25,1165.09,1139.91,1142.92,-15.69,1162.73,1165.07,1154.75,1158.61,2.34,3.24,4641.16,-6.46,10.32,1
2015-07-10,1159.6,1165.57,1158.13,1162.78,19.86,1158.25,1165.09,1139.91,1142.92,6.84,-15.69,4606.17,-22.17,25.18,0
2016-12-12,1159.69,1165.77,1151.75,1162.24,-0.54,1159.6,1165.57,1158.13,1162.78,5.97,19.86,4646.08,-2.79,7.44,0
2015-03-12,1154.29,1166.31,1148.4,1153.76,-8.48,1159.69,1165.77,1151.75,1162.24,6.08,-0.54,4639.45,-3.53,14.02,1
2015-07-09,1156.79,1167.92,1156.3,1159.88,6.12,1154.29,1166.31,1148.4,1153.76,12.02,-8.48,4622.76,-12.55,17.91,1
2017-01-04,1158.73,1167.94,1156.34,1163.53,3.65,1156.79,1167.92,1156.3,1159.88,11.13,6.12,4640.89,-8.04,11.62,0
2015-08-21,1155.23,1168.54,1149.26,1159.56,-3.97,1158.73,1167.94,1156.34,1163.53,9.21,3.65,4646.54,-4.41,11.6,1
2015-10-27,1163.97,1168.86,1161.07,1166.9,7.34,1155.23,1168.54,1149.26,1159.56,13.31,-3.97,4632.59,-8.98,19.28,1
2015-10-13,1163.45,1169.19,1152.16,1169.19,2.29,1163.97,1168.86,1161.07,1166.9,4.89,7.34,4660.8,-1.96,7.79,0
2015-10-12,1156.11,1169.22,1155.18,1164.59,-4.6,1163.45,1169.19,1152.16,1169.19,5.74,2.29,4653.99,0,17.03,1
2015-07-02,1169.06,1169.75,1157.43,1166.65,2.06,1156.11,1169.22,1155.18,1164.59,13.11,-4.6,4645.1,-4.63,14.04,0
2015-10-26,1163.54,1169.86,1162.72,1163.51,-3.14,1169.06,1169.75,1157.43,1166.65,0.69,2.06,4662.89,-3.1,12.32,0
2015-08-24,1162.19,1170.18,1146.18,1155.39,-8.12,1163.54,1169.86,1162.72,1163.51,6.32,-3.14,4659.63,-6.35,7.14,0
2015-07-07,1170.01,1170.2,1148.46,1155.25,-0.14,1162.19,1170.18,1146.18,1155.39,7.99,-8.12,4633.94,-14.79,24,1
2015-03-10,1166.85,1170.22,1155.14,1161.4,6.15,1170.01,1170.2,1148.46,1155.25,0.19,-0.14,4643.92,-14.95,21.74,1
2015-07-03,1166.36,1170.34,1165.74,1168.83,7.43,1166.85,1170.22,1155.14,1161.4,3.37,6.15,4653.61,-8.82,15.08,0
