Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Volume,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
31.07.2020,1956.775,1984.218,1955.765,1975.568,32.533,1261,1976.545,1985.025,1935.194,1943.035,1380,-16.68,7839.799,-41.99,49.831,1
30.03.2023,1963.195,1984.195,1955.204,1978.385,2.817,1380,1956.775,1984.218,1955.765,1975.568,1261,32.533,7872.326,-8.65,28.453,0
18.07.2023,1955.345,1984.195,1954.585,1977.395,-0.99,1379,1963.195,1984.195,1955.204,1978.385,1380,2.817,7880.979,-5.81,28.991,1
19.05.2023,1958.325,1984.075,1953.905,1977.448,0.053,1260,1955.345,1984.195,1954.585,1977.395,1379,-0.99,7871.52,-6.8,29.61,0
02.06.2023,1976.945,1983.315,1947.164,1947.738,-29.71,1260,1958.325,1984.075,1953.905,1977.448,1260,0.053,7873.753,-6.627,30.17,1
01.06.2023,1966.225,1983.015,1953.255,1976.895,29.157,1380,1976.945,1983.315,1947.164,1947.738,1260,-29.71,7855.162,-35.577,36.151,0
22.05.2023,1980.715,1982.505,1968.765,1969.645,-7.25,1378,1966.225,1983.015,1953.255,1976.895,1380,29.157,7879.39,-6.12,29.76,1
03.08.2020,1981.825,1982.225,1960.378,1975.138,5.493,1380,1980.715,1982.505,1968.765,1969.645,1378,-7.25,7901.63,-12.86,13.74,0
27.07.2023,1971.905,1982.085,1942.525,1947.385,-27.753,1377,1981.825,1982.225,1960.378,1975.138,1380,5.493,7899.566,-7.087,21.847,1
19.04.2022,1977.068,1981.848,1943.588,1949.618,2.233,1380,1971.905,1982.085,1942.525,1947.385,1377,-27.753,7843.9,-34.7,39.56,1
13.04.2022,1965.752,1981.482,1962.718,1977.062,27.444,1380,1977.068,1981.848,1943.588,1949.618,1380,2.233,7852.122,-32.23,38.26,1
21.05.2023,1976.478,1981.375,1976.478,1980.695,3.633,120,1965.752,1981.482,1962.718,1977.062,1380,27.444,7887.014,-4.42,18.764,0
28.07.2020,1964.865,1980.98,1906.645,1955.958,-24.737,1380,1976.478,1981.375,1976.478,1980.695,120,3.633,7915.026,-0.68,4.897,1
29.07.2020,1955.958,1980.798,1941.328,1966.398,10.44,1380,1964.865,1980.98,1906.645,1955.958,1380,-24.737,7808.448,-25.022,74.335,1
19.07.2023,1977.355,1980.775,1969.645,1977.695,11.297,1380,1955.958,1980.798,1941.328,1966.398,1380,10.44,7844.482,-14.4,39.47,0
14.04.2022,1977.088,1980.248,1960.412,1973.218,-4.477,1259,1977.355,1980.775,1969.645,1977.695,1380,11.297,7905.47,-3.08,11.13,1
26.03.2023,1979.798,1979.798,1969.104,1975.665,2.447,120,1977.088,1980.248,1960.412,1973.218,1259,-4.477,7890.966,-7.03,19.836,0
22.03.2023,1943.035,1978.705,1934.175,1969.555,-6.11,1380,1979.798,1979.798,1969.104,1975.665,120,2.447,7904.365,-4.133,10.694,0
14.03.2022,1974.148,1978.662,1949.628,1952.058,-17.497,1380,1943.035,1978.705,1934.175,1969.555,1380,-6.11,7825.47,-9.15,44.53,1
27.03.2023,1975.645,1978.615,1943.895,1958.035,5.977,1380,1974.148,1978.662,1949.628,1952.058,1380,-17.497,7854.496,-26.604,29.034,1
12.04.2022,1952.638,1978.508,1949.518,1965.758,7.723,1380,1975.645,1978.615,1943.895,1958.035,1380,5.977,7856.19,-20.58,34.72,1
26.07.2023,1965.235,1978.118,1961.945,1971.885,6.127,1380,1952.638,1978.508,1949.518,1965.758,1380,7.723,7846.422,-12.75,28.99,1
23.05.2023,1969.695,1977.554,1954.084,1974.945,3.06,1378,1965.235,1978.118,1961.945,1971.885,1380,6.127,7877.183,-6.233,16.173,0
27.08.2020,1953.298,1976.578,1909.778,1927.868,-47.077,1380,1969.695,1977.554,1954.084,1974.945,1378,3.06,7876.278,-2.609,23.47,1
30.08.2020,1965.378,1976.465,1964.898,1972.985,45.117,120,1953.298,1976.578,1909.778,1927.868,1380,-47.077,7767.522,-48.71,66.8,0
31.08.2020,1972.975,1976.368,1954.125,1967.758,-5.227,1380,1965.378,1976.465,1964.898,1972.985,120,45.117,7879.726,-3.48,11.567,1
