Date,Open,High,Low,Close,Change,Volume,P_Open,P_High,P_Low,P_Close,P_Open-Low,P_Change,P_4_Price,P_Close-High,P_High-Low,Action
12.14.2021,1786.54,1788.81,1766.99,1770.35,-16.21,6910,1774.79,1789.43,1771.43,1789.03,3.36,14.13,7124.68,-0.4,18,1
08.08.2022,1774.79,1789.43,1771.43,1789.03,14.13,5887,1770.56,1789.76,1768.7,1785.75,1.86,14.96,7114.77,-4.01,21.06,0
12.07.2022,1770.56,1789.76,1768.7,1785.75,14.96,8664,1774.25,1789.99,1772.47,1781.82,1.78,7.6,7118.53,-8.17,17.52,1
12.01.2021,1774.25,1789.99,1772.47,1781.82,7.6,6116,1783.03,1790.15,1782.29,1786.56,0.74,3.93,7142.03,-3.59,7.86,1
12.13.2021,1783.03,1790.15,1782.29,1786.56,3.93,6849,1783.97,1792.17,1780.47,1782.37,3.5,-1.59,7138.98,-9.8,11.7,1
12.08.2021,1783.97,1792.17,1780.47,1782.37,-1.59,6210,1785.51,1793.75,1781.3,1788.73,4.21,2.98,7149.29,-5.02,12.45,1
12.08.2022,1785.51,1793.75,1781.3,1788.73,2.98,8695,1776.72,1794.01,1775.09,1793.09,1.63,16.29,7138.91,-0.92,18.92,0
12.16.2022,1776.72,1794.01,1775.09,1793.09,16.29,10961,1790.77,1794.22,1766.37,1774.9,24.4,-15.91,7126.26,-19.32,27.85,1
08.05.2022,1790.77,1794.22,1766.37,1774.9,-15.91,5951,1765.11,1794.43,1763.17,1790.81,1.94,25.63,7113.52,-3.62,31.26,1
08.04.2022,1765.11,1794.43,1763.17,1790.81,25.63,5863,1788.5,1794.61,1786.44,1788.5,2.06,0,7158.05,-6.11,8.17,0
11.25.2021,1788.5,1794.61,1786.44,1788.5,0,5535,1759.92,1794.77,1759.51,1792.59,0.41,32.66,7106.79,-2.18,35.26,1
10.13.2021,1759.92,1794.77,1759.51,1792.59,32.66,5884,1782.93,1794.82,1779.51,1793.03,3.42,10.22,7150.29,-1.79,15.31,0
11.01.2021,1782.93,1794.82,1779.51,1793.03,10.22,6661,1789.03,1795.49,1780.44,1788.5,8.59,-0.53,7153.46,-6.99,15.05,1
11.24.2021,1789.03,1795.49,1780.44,1788.5,-0.53,6343,1793.36,1795.78,1749.22,1752.75,44.14,-40.61,7091.11,-43.03,46.56,1
09.16.2021,1793.36,1795.78,1749.22,1752.75,-40.61,6559,1793.04,1795.83,1786.46,1787.79,6.58,-5.24,7163.12,-8.04,9.37,0
11.02.2021,1793.04,1795.83,1786.46,1787.79,-5.24,6344,1795.81,1796.08,1766.65,1767.38,29.16,-28.43,7125.92,-28.7,29.43,0
10.15.2021,1795.81,1796.08,1766.65,1767.38,-28.43,6168,1787.42,1797.16,1786.06,1793.27,1.36,5.85,7163.91,-3.89,11.1,0
09.13.2021,1787.42,1797.16,1786.06,1793.27,5.85,5977,1792.01,1797.52,1784.29,1789.31,7.72,-2.71,7163.13,-8.21,13.23,0
08.11.2022,1792.01,1797.52,1784.29,1789.31,-2.71,5981,1790.11,1797.81,1785.5,1796.32,4.61,6.26,7169.74,-1.49,12.31,1
01.07.2022,1790.11,1797.81,1785.5,1796.32,6.26,6124,1769.58,1797.89,1768.56,1791.48,1.02,21.87,7127.51,-6.41,29.33,0
11.04.2021,1769.58,1797.89,1768.56,1791.48,21.87,6426,1795.29,1798.02,1784.34,1787.77,10.95,-5.32,7165.42,-10.25,13.68,1
12.19.2022,1795.29,1798.02,1784.34,1787.77,-5.32,10902,1788.97,1798.38,1783.31,1794.21,5.66,5.18,7164.87,-4.17,15.07,1
08.09.2022,1788.97,1798.38,1783.31,1794.21,5.18,6085,1792.68,1798.54,1784.36,1796.64,8.32,3.95,7172.22,-1.9,14.18,0
10.27.2021,1792.68,1798.54,1784.36,1796.64,3.95,5693,1793.62,1798.77,1782.06,1784.47,11.56,-7.14,7158.92,-14.3,16.71,1
11.29.2021,1793.62,1798.77,1782.06,1784.47,-7.14,5979,1776.98,1799.02,1776.18,1798.98,0.8,21.99,7151.16,-0.04,22.84,1
12.16.2021,1776.98,1799.02,1776.18,1798.98,21.99,6543,1796.71,1799.1,1780.75,1791.24,15.96,-5.33,7167.8,-7.86,18.35,0
01.28.2022,1796.71,1799.1,1780.75,1791.24,-5.33,7573,1790.3,1799.16,1785.37,1788.38,4.93,-1.87,7163.21,-10.78,13.79,1
12.21.2021,1790.3,1799.16,1785.37,1788.38,-1.87,6037,1791.53,1799.39,1785.75,1796.95,5.78,5.71,7173.62,-2.44,13.64,0
01.31.2022,1791.53,1799.39,1785.75,1796.95,5.71,6438,1799.4,1799.4,1778.08,1781.37,21.32,-15.94,7158.25,-18.03,21.32,0
12.12.2022,1799.4,1799.4,1778.08,1781.37,-15.94,10714,1792.58,1800.09,1787.04,1795.81,5.54,3.22,7175.52,-4.28,13.05,1
10.14.2021,1792.58,1800.09,1787.04,1795.81,3.22,6162,1789.06,1800.22,1785.49,1794.05,3.57,5.01,7168.82,-6.17,14.73,0
09.09.2021,1789.06,1800.22,1785.49,1794.05,5.01,6894,1798.62,1800.68,1773.12,1782.81,25.5,-15.79,7155.23,-17.87,27.56,1
10.29.2021,1798.62,1800.68,1773.12,1782.81,-15.79,6568,1793.58,1800.78,1785.18,1789.04,8.4,-4.6,7168.58,-11.74,15.6,1
09.08.2021,1793.58,1800.78,1785.18,1789.04,-4.6,6259,1801.5,1801.58,1773.67,1779.11,27.83,-22.34,7155.86,-22.47,27.91,0
08.15.2022,1801.5,1801.58,1773.67,1779.11,-22.34,5680,1797.13,1801.66,1791.23,1801.55,5.9,5.23,7191.57,-0.11,10.43,0
01.10.2022,1797.13,1801.66,1791.23,1801.55,5.23,5953,1789.26,1801.85,1785.29,1801.45,3.97,12.14,7177.85,-0.4,16.56,0
08.12.2022,1789.26,1801.85,1785.29,1801.45,12.14,5931,1792.33,1802.81,1791.4,1798.54,0.93,6.1,7185.08,-4.27,11.41,1
12.23.2022,1792.33,1802.81,1791.4,1798.54,6.1,11238,1767.89,1803.08,1766.99,1802.77,0.9,34.68,7140.73,-0.31,36.09,1
12.01.2022,1767.89,1803.08,1766.99,1802.77,34.68,6263,1794.05,1803.13,1787.41,1787.42,6.64,-6.63,7172.01,-15.71,15.72,1
09.10.2021,1794.05,1803.13,1787.41,1787.42,-6.63,6363,1798.66,1803.58,1788.61,1790.25,10.05,-7.28,7181.1,-13.33,14.97,1
